KABUPATEN,KECAMATAN,KODE BPS,DESA,IKS,IKE,IKL,IDM,KATEGORI IDM,BINARY STATUS,matches
ACEH UTARA,TANAH LUAS,1111120058,PANTE BERGHANG,0.52,4833,5333,5122,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120048,RAYEUK MUNYE,7714,4833,0.6,6183,BERKEMBANG,MAJU,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120032,CIBREK,6971,4667,0.6,5879,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120024,TEUPIN MEE,0.6,4333,5333,5222,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120018,PUNTI SEULEUMAK BARAT,6057,0.4,0.6,5352,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH LUAS,1111120017,LEUHONG,0.64,4667,6667,5911,TERTINGGAL,TERTINGGAL,"('TANAH LUAS', 100)"
ACEH UTARA,TANAH PASIR,1111150017,MEE MATANG PANYANG,0.6,0.3,6667,5222,TERTINGGAL,TERTINGGAL,"('TANAH PASIR', 100)"
ACEH UTARA,TANAH PASIR,1111150004,GAMPONG PANDE,7543,4833,4667,5681,TERTINGGAL,TERTINGGAL,"('TANAH PASIR', 100)"
ACEH UTARA,TANAH PASIR,1111150009,MATANG RANUP LASEH,6686,0.45,0.6,5729,TERTINGGAL,TERTINGGAL,"('TANAH PASIR', 100)"
ACEH UTARA,TANAH PASIR,1111150029,KUALA KEUREUTOU BARAT,7486,4167,0.6,5884,TERTINGGAL,TERTINGGAL,"('TANAH PASIR', 100)"
ACEH UTARA,T. JAMBO AYE,1111080059,TEUPIN GAJAH,6114,5833,6667,6205,BERKEMBANG,MAJU,
ACEH UTARA,T. JAMBO AYE,1111080070,GEULUMPANG UMPUNG UNOU,5657,0.5,6667,5775,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080069,RANTO PANYANG,0.64,4833,0.6,5744,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080068,SEUNEUBOK DOE,5314,5333,6667,5771,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080066,MEUNASAH GEUDONG,5886,4667,6667,574,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080067,MEUNASAH MERBO,5829,5333,6667,5943,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080060,TANJONG MEUNYE,5771,4333,6667,559,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080061,MATANG JURONG,5657,4667,6667,5663,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080062,TANJONG DALAM UTARA,5943,5167,6667,5925,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080065,MEUNASAH DAYAH,5543,0.5,6667,5737,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080064,SEUNEUBOK PIDIE,5543,4167,0.6,5237,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080063,TANJONG MENUANG,6457,4167,6667,5763,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080030,MATANG TEUNGOH-TEUNGOH,5657,0.45,6667,5608,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080035,LHOK REUDEUP,5657,4833,6667,5719,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080033,LHOK MERBO,5714,4833,6667,5738,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080039,TANJONG ARA,6114,5167,6667,5983,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080037,ALUE IE MIRAH,7086,5833,0.8,6973,BERKEMBANG,MAJU,
ACEH UTARA,T. JAMBO AYE,1111080038,TANJONG PUNTI,5143,4167,6667,5325,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080034,BUKIT ALUE PUTEH,6629,0.45,6667,5932,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080024,BUKET JRAT MANYANG,5829,5167,6667,5887,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080036,MATANG MANEH,5657,4833,6667,5719,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080028,PUCOK ALUE,5086,4667,6667,5473,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080029,MATANG SERDANG,5771,0.55,0.6,5757,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080040,MATANG SANTOT,5829,0.45,0.6,5443,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080031,BUKET PADANG,6114,5167,6667,5983,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080026,MATANG SEUKE PULOT,0.68,0.45,6667,5989,TERTINGGAL,TERTINGGAL,
ACEH UTARA,T. JAMBO AYE,1111080032,LHOK BEURINGEN,6343,0.45,6667,5837,TERTINGGAL,TERTINGGAL,
